user_id,login_time,country,bytes_sent,duration_sec,failed_attempts,label
1001,2026-01-05 08:14,US,15230.0,42.0,0,normal
1002,2026-01-05 08:17,US,8800.0,31.0,1,normal
1003,2026-01-05 08:20,GB,12100.0,53.349999999999994,0,normal
1004,2026-01-05 08:25,US,9500.0,40.0,0,normal
1005,2026-01-05 08:31,DE,7200.0,38.0,2,normal
1006,2026-01-05 08:33,US,1050000.0,3.0,14,suspicious
1007,2026-01-05 08:40,FR,10300.0,47.0,0,normal
1008,2026-01-05 08:44,US,10150.0,50.0,1,normal
1009,2026-01-05 08:50,GB,11200.0,44.0,0,normal
1011,2026-01-05 09:01,RU,980000.0,2.0,22,suspicious
1012,2026-01-05 09:10,US,8600.0,36.0,0,normal
1013,2026-01-05 09:14,DE,7800.0,41.0,3,normal
1014,2026-01-05 09:20,US,10150.0,29.0,0,normal
1015,2026-01-05 09:25,FR,10100.0,52.0,0,normal
1016,2026-01-05 09:31,US,12500.0,48.0,1,normal
1017,2026-01-05 09:36,CN,1120000.0,4.0,31,suspicious
1018,2026-01-05 09:40,US,9300.0,39.0,0,normal
1020,2026-01-05 09:50,US,8900.0,33.0,0,normal
1021,2026-01-05 09:55,DE,7600.0,40.0,2,normal
1022,2026-01-05 10:01,US,10800.0,45.0,0,normal
1023,2026-01-05 10:06,US,9700.0,53.349999999999994,0,normal
1024,2026-01-05 10:11,FR,10500.0,49.0,1,normal
1025,2026-01-05 10:16,US,8400.0,35.0,0,normal
1026,2026-01-05 10:22,US,11100.0,43.0,0,normal
1027,2026-01-05 10:27,GB,12200.0,40.0,0,normal
1028,2026-01-05 10:32,RU,1010000.0,2.0,18,suspicious
1029,2026-01-05 10:37,US,9600.0,37.0,0,normal
1030,2026-01-05 10:42,US,8700.0,34.0,0,normal
1031,2026-01-05 10:47,DE,7900.0,42.0,1,normal
1032,2026-01-05 10:52,US,10200.0,40.0,0,normal
1033,2026-01-05 10:57,FR,10700.0,51.0,0,normal
1035,2026-01-05 11:07,US,9100.0,38.0,0,normal
